Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
EVHC,"ENVISION HEALTHCARE CORP",0.01,0.01,0.02,0.08,0.08,0.17,0.25,0.32,0.34,0.2,0.12,0.06,0.04,0,0,0,"EVHC,ENVISION HEALTHCARE CORP"
EVRG,"EVERGY INC",0.00000001,0.0000001,0.000001,0.01,0.01,0.02,0.06,0.2,0.21,0.08,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"EVRG,EVERGY INC"
EW,"EDWARDS LIFESCIENCES CORP",0.01,0.02,0.02,0.02,0.04,0.06,0.1,0.18,0.28,0.15,0.08,0.04,0.03,0.01,0,0,"EW,EDWARDS LIFESCIENCES CORP"
EXC,"EXELON CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.06,0.18,0.26,0.1,0.04,0.02,0.0001,0.00001,0.000001,0.000001,"EXC,EXELON CORP"
EXPD,"EXPEDITORS INTL WASH INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.04,0.07,0.14,0.26,0.07,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"EXPD,EXPEDITORS INTL WASH INC"
EXPE,"EXPEDIA GROUP INC",0.00000001,0.0000001,0.02,0.04,0.06,0.08,0.15,0.23,0.38,0.15,0.07,0.02,0.01,0.00001,0.000001,0.000001,"EXPE,EXPEDIA GROUP INC"
EXR,"EXTRA SPACE STORAGE INC",0.00000001,0.0000001,0.000001,0.01,0.03,0.06,0.14,0.3,0.36,0.17,0.04,0.03,0.0001,0.00001,0.000001,0.000001,"EXR,EXTRA SPACE STORAGE INC"
F,"FORD MOTOR CO",0.00000001,0.0000001,0.000001,0.01,0.05,0.07,0.16,0.32,0.26,0.09,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"F,FORD MOTOR CO"
FAST,"FASTENAL CO",0.00000001,0.0000001,0.000001,0.02,0.02,0.08,0.15,0.26,0.34,0.17,0.06,0.05,0.01,0.00001,0.000001,0.000001,"FAST,FASTENAL CO"
FB,"FACEBOOK INC",0.00000001,0.0000001,0.01,0.04,0.04,0.05,0.1,0.19,0.37,0.15,0.03,0.01,0.01,0.01,0.000001,0.000001,"FB,FACEBOOK INC"
FBHS,"FORTUNE BRANDS HOME & SECUR",0.00000001,0.0000001,0.000001,0.02,0.03,0.06,0.12,0.21,0.29,0.09,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"FBHS,FORTUNE BRANDS HOME & SECUR"
FCX,"FREEPORT-MCMORAN INC",0.00000001,0.05,0.06,0.1,0.15,0.24,0.3,0.38,0.44,0.34,0.23,0.17,0.12,0.05,0.01,0.000001,"FCX,FREEPORT-MCMORAN INC"
FDX,"FEDEX CORP",0.00000001,0.0000001,0.000001,0.03,0.05,0.07,0.1,0.18,0.33,0.11,0.06,0.03,0.01,0.00001,0.000001,0.000001,"FDX,FEDEX CORP"
FE,"FIRSTENERGY CORP",0.00000001,0.0000001,0.000001,0.00001,0.01,0.05,0.13,0.29,0.31,0.15,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"FE,FIRSTENERGY CORP"
FFIV,"F5 NETWORKS INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.04,0.14,0.23,0.34,0.17,0.06,0.02,0.01,0.00001,0.000001,0.000001,"FFIV,F5 NETWORKS INC"
FIS,"FIDELITY NATIONAL INFO SVCS",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.07,0.17,0.23,0.07,0.02,0.02,0.01,0.00001,0.000001,0.000001,"FIS,FIDELITY NATIONAL INFO SVCS"
FISV,"FISERV INC",0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.13,0.27,0.05,0.02,0.01,0,0,0,0,"FISV,FISERV INC"
FITB,"FIFTH THIRD BANCORP",0.00000001,0.0000001,0.000001,0.02,0.03,0.07,0.15,0.26,0.34,0.14,0.05,0.03,0.02,0.00001,0.000001,0.000001,"FITB,FIFTH THIRD BANCORP"
FITBI,"FIFTH THIRD BANCORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.01,0.12,0.12,0.01,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"FITBI,FIFTH THIRD BANCORP"
FL,"FOOT LOCKER INC",0.00000001,0.01,0.02,0.08,0.1,0.16,0.27,0.36,0.34,0.23,0.13,0.04,0.03,0.02,0.000001,0.000001,"FL,FOOT LOCKER INC"
FLIR,"FLIR SYSTEMS INC",0.00000001,0.0000001,0.000001,0.00001,0.02,0.03,0.09,0.16,0.33,0.16,0.07,0.04,0.01,0.00001,0.000001,0.000001,"FLIR,FLIR SYSTEMS INC"
FLR,"FLUOR CORP",0.00000001,0.01,0.01,0.04,0.05,0.09,0.16,0.29,0.34,0.18,0.1,0.06,0.03,0.00001,0.000001,0.000001,"FLR,FLUOR CORP"
FLS,"FLOWSERVE CORP",0.00000001,0.0000001,0.000001,0.04,0.08,0.13,0.19,0.33,0.4,0.2,0.11,0.03,0.0001,0.00001,0.000001,0.000001,"FLS,FLOWSERVE CORP"
FMC,"FMC CORP",0.00000001,0.0000001,0.000001,0.01,0.04,0.09,0.13,0.24,0.37,0.2,0.1,0.06,0.03,0.01,0.000001,0.000001,"FMC,FMC CORP"
FOX,"TWENTY-FIRST CENTURY FOX INC",0.00000001,0.0000001,0.000001,0.01,0.01,0.06,0.11,0.24,0.34,0.16,0.05,0.04,0.01,0.00001,0.000001,0.000001,"FOX,TWENTY-FIRST CENTURY FOX INC"
FOXA,"TWENTY-FIRST CENTURY FOX INC",0.00000001,0.0000001,0.000001,0.01,0.03,0.07,0.12,0.24,0.35,0.17,0.05,0.04,0.01,0.00001,0.000001,0.000001,"FOXA,TWENTY-FIRST CENTURY FOX INC"
FRT,"FEDERAL REALTY INVESTMENT TR",0.00000001,0.0000001,0.000001,0.01,0.03,0.05,0.09,0.26,0.26,0.05,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"FRT,FEDERAL REALTY INVESTMENT TR"
FTI,"TECHNIPFMC PLC",0.00000001,0.0000001,0.01,0.02,0.05,0.11,0.19,0.34,0.33,0.17,0.11,0.07,0.07,0.02,0.01,0.01,"FTI,TECHNIPFMC PLC"
FTV,"FORTIVE CORP",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.03,0.11,0.19,0.1,0.02,0.02,0.01,0.00001,0.000001,0.000001,"FTV,FORTIVE CORP"
GD,"GENERAL DYNAMICS CORP",0.00000001,0.0000001,0.000001,0.01,0.01,0.02,0.05,0.2,0.27,0.08,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"GD,GENERAL DYNAMICS CORP"
GE,"GENERAL ELECTRIC CO",0.00000001,0.0000001,0.000001,0.01,0.05,0.08,0.18,0.3,0.19,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"GE,GENERAL ELECTRIC CO"
GGP,"GGP INC",0.00000001,0.0000001,0.000001,0.02,0.06,0.12,0.16,0.3,0.28,0.09,0.03,0.03,0.01,0.01,0.000001,0.000001,"GGP,GGP INC"
GILD,"GILEAD SCIENCES INC",0.00000001,0.0000001,0.000001,0.01,0.04,0.08,0.16,0.36,0.27,0.16,0.05,0.05,0.02,0.00001,0.000001,0.000001,"GILD,GILEAD SCIENCES INC"
GIS,"GENERAL MILLS INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.06,0.08,0.24,0.22,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"GIS,GENERAL MILLS INC"
GLW,"CORNING INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.04,0.09,0.17,0.29,0.13,0.08,0.05,0.03,0.00001,0.000001,0.000001,"GLW,CORNING INC"
GM,"GENERAL MOTORS CO",0.00000001,0.0000001,0.01,0.01,0.02,0.07,0.14,0.26,0.29,0.14,0.07,0.03,0.01,0.00001,0.000001,0.000001,"GM,GENERAL MOTORS CO"
GOOG,"ALPHABET INC",0.00000001,0.0000001,0.000001,0.01,0.04,0.07,0.09,0.19,0.42,0.18,0.03,0.001,0.0001,0.00001,0.000001,0.000001,"GOOG,ALPHABET INC"
GOOGL,"ALPHABET INC",0.00000001,0.0000001,0.000001,0.01,0.04,0.05,0.09,0.17,0.38,0.18,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"GOOGL,ALPHABET INC"
GPC,"GENUINE PARTS CO",0.00000001,0.0000001,0.000001,0.01,0.05,0.06,0.09,0.24,0.29,0.08,0.06,0.02,0.0001,0.00001,0.000001,0.000001,"GPC,GENUINE PARTS CO"
GPN,"GLOBAL PAYMENTS INC",0.01,0.01,0.01,0.03,0.04,0.07,0.13,0.24,0.37,0.17,0.06,0.04,0.02,0,0,0,"GPN,GLOBAL PAYMENTS INC"
GPS,"GAP INC",0.00000001,0.0000001,0.03,0.1,0.12,0.18,0.25,0.38,0.44,0.28,0.2,0.11,0.05,0.01,0.000001,0.000001,"GPS,GAP INC"
GRMN,"GARMIN LTD",0.00000001,0.0000001,0.000001,0.02,0.03,0.03,0.09,0.2,0.3,0.13,0.07,0.04,0.02,0.02,0.000001,0.000001,"GRMN,GARMIN LTD"
GS,"GOLDMAN SACHS GROUP INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.05,0.16,0.26,0.31,0.13,0.04,0.03,0.02,0.00001,0.000001,0.000001,"GS,GOLDMAN SACHS GROUP INC"
GT,"GOODYEAR TIRE & RUBBER CO",0.00000001,0.0000001,0.01,0.06,0.09,0.13,0.2,0.31,0.36,0.14,0.08,0.02,0.01,0.00001,0.000001,0.000001,"GT,GOODYEAR TIRE & RUBBER CO"
GWW,"GRAINGER (W W) INC",0.00000001,0.0000001,0.01,0.01,0.05,0.08,0.15,0.23,0.37,0.19,0.08,0.04,0.02,0.01,0.000001,0.000001,"GWW,GRAINGER (W W) INC"
HAL,"HALLIBURTON CO",0.00000001,0.0000001,0.000001,0.02,0.03,0.15,0.22,0.33,0.36,0.22,0.12,0.04,0.01,0.00001,0.000001,0.000001,"HAL,HALLIBURTON CO"
HAS,"HASBRO INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.04,0.14,0.28,0.33,0.12,0.08,0.02,0.01,0.00001,0.000001,0.000001,"HAS,HASBRO INC"
HBAN,"HUNTINGTON BANCSHARES",0.00000001,0.0000001,0.000001,0.01,0.04,0.05,0.13,0.22,0.35,0.16,0.06,0.03,0.01,0.00001,0.000001,0.000001,"HBAN,HUNTINGTON BANCSHARES"
HBI,"HANESBRANDS INC",0.00000001,0.01,0.03,0.05,0.06,0.1,0.19,0.32,0.35,0.18,0.07,0.04,0.01,0.01,0.000001,0.000001,"HBI,HANESBRANDS INC"
HCA,"HCA HEALTHCARE INC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.03,0.08,0.23,0.28,0.13,0.08,0.03,0.01,0.00001,0.000001,0.000001,"HCA,HCA HEALTHCARE INC"
HCP,"HCP INC",0.00000001,0.01,0.01,0.04,0.05,0.11,0.17,0.31,0.35,0.14,0.04,0.001,0.0001,0.00001,0.000001,0.000001,"HCP,HCP INC"
HD,"HOME DEPOT INC",0.00000001,0.0000001,0.000001,0.01,0.01,0.04,0.05,0.19,0.26,0.11,0.03,0.001,0.0001,0.00001,0.000001,0.000001,"HD,HOME DEPOT INC"
HES,"HESS CORP",0.00000001,0.0000001,0.02,0.06,0.14,0.17,0.26,0.36,0.39,0.27,0.2,0.1,0.06,0.00001,0.000001,0.000001,"HES,HESS CORP"
HIG,"HARTFORD FINANCIAL SERVICES",0.00000001,0.0000001,0.000001,0.00001,0.02,0.03,0.11,0.23,0.23,0.07,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"HIG,HARTFORD FINANCIAL SERVICES"
HII,"HUNTINGTON INGALLS IND INC",0.00000001,0.0000001,0.000001,0.00001,0.02,0.04,0.08,0.16,0.32,0.15,0.06,0.03,0.03,0.00001,0.000001,0.000001,"HII,HUNTINGTON INGALLS IND INC"
HLT,"HILTON WORLDWIDE HOLDINGS",0.00000001,0.0000001,0.000001,0.03,0.03,0.06,0.09,0.23,0.36,0.13,0.07,0.05,0.02,0.01,0.01,0.01,"HLT,HILTON WORLDWIDE HOLDINGS"
HOG,"HARLEY-DAVIDSON INC",0.00000001,0.0000001,0.01,0.03,0.06,0.1,0.17,0.33,0.29,0.18,0.07,0.01,0.0001,0.00001,0.000001,0.000001,"HOG,HARLEY-DAVIDSON INC"
HOLX,"HOLOGIC INC",0.00000001,0.0000001,0.000001,0.02,0.04,0.05,0.1,0.25,0.29,0.13,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"HOLX,HOLOGIC INC"
HON,"HONEYWELL INTERNATIONAL INC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.03,0.05,0.13,0.2,0.05,0.04,0.001,0.0001,0.00001,0.000001,0.000001,"HON,HONEYWELL INTERNATIONAL INC"
HP,"HELMERICH & PAYNE",0.00000001,0.0000001,0.000001,0.07,0.12,0.18,0.24,0.4,0.35,0.26,0.14,0.11,0.05,0.02,0.000001,0.000001,"HP,HELMERICH & PAYNE"
HPE,"HEWLETT PACKARD ENTERPRISE",0.00000001,0.02,0.02,0.07,0.12,0.15,0.2,0.29,0.37,0.22,0.1,0.07,0.05,0.01,0.000001,0.000001,"HPE,HEWLETT PACKARD ENTERPRISE"
HPQ,"HP INC",0.01,0.01,0.01,0.04,0.05,0.08,0.16,0.25,0.32,0.22,0.12,0.04,0.02,0,0,0,"HPQ,HP INC"
HRB,"BLOCK H & R INC",0.00000001,0.0000001,0.04,0.07,0.08,0.12,0.18,0.27,0.27,0.14,0.07,0.05,0.03,0.00001,0.000001,0.000001,"HRB,BLOCK H & R INC"
HRL,"HORMEL FOODS CORP",0.01,0.01,0.01,0.02,0.03,0.05,0.11,0.24,0.25,0.07,0.04,0.01,0,0,0,0,"HRL,HORMEL FOODS CORP"
HRS,"HARRIS CORP",0.00000001,0.0000001,0.01,0.01,0.01,0.02,0.03,0.12,0.32,0.07,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"HRS,HARRIS CORP"
HSIC,"SCHEIN (HENRY) INC",0.01,0.01,0.02,0.02,0.04,0.06,0.12,0.22,0.32,0.06,0.03,0.02,0.01,0,0,0,"HSIC,SCHEIN (HENRY) INC"
HST,"HOST HOTELS & RESORTS INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.09,0.13,0.25,0.28,0.17,0.06,0.02,0.01,0.00001,0.000001,0.000001,"HST,HOST HOTELS & RESORTS INC"
HSY,"HERSHEY CO",0.00000001,0.0000001,0.000001,0.02,0.02,0.05,0.07,0.18,0.17,0.05,0.01,0.01,0.01,0.00001,0.000001,0.000001,"HSY,HERSHEY CO"
HUM,"HUMANA INC",0.00000001,0.0000001,0.01,0.01,0.04,0.05,0.1,0.23,0.32,0.15,0.09,0.04,0.01,0.00001,0.000001,0.000001,"HUM,HUMANA INC"
IBM,"INTL BUSINESS MACHINES CORP",0.00000001,0.0000001,0.000001,0.00001,0.02,0.04,0.08,0.17,0.21,0.09,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"IBM,INTL BUSINESS MACHINES CORP"
ICE,"INTERCONTINENTAL EXCHANGE",0.01,0.01,0.01,0.01,0.02,0.03,0.07,0.2,0.27,0.09,0.04,0.02,0,0,0,0,"ICE,INTERCONTINENTAL EXCHANGE"
IDXX,"IDEXX LABS INC",0.00000001,0.0000001,0.000001,0.00001,0.02,0.06,0.1,0.18,0.45,0.16,0.07,0.02,0.02,0.02,0.000001,0.000001,"IDXX,IDEXX LABS INC"
IFF,"INTL FLAVORS & FRAGRANCES",0.00000001,0.0000001,0.000001,0.01,0.03,0.04,0.09,0.22,0.25,0.06,0.01,0.01,0.0001,0.00001,0.000001,0.000001,"IFF,INTL FLAVORS & FRAGRANCES"
ILMN,"ILLUMINA INC",0.00000001,0.01,0.03,0.05,0.07,0.1,0.14,0.23,0.41,0.26,0.16,0.09,0.03,0.00001,0.000001,0.000001,"ILMN,ILLUMINA INC"
INCY,"INCYTE CORP",0.00000001,0.01,0.04,0.1,0.17,0.22,0.26,0.36,0.41,0.26,0.15,0.11,0.03,0.00001,0.000001,0.000001,"INCY,INCYTE CORP"
INFO,"IHS MARKIT LTD",0.01,0.01,0.01,0.02,0.05,0.06,0.08,0.19,0.28,0.08,0.02,0.01,0.01,0,0,0,"INFO,IHS MARKIT LTD"
INTC,"INTEL CORP",0.00000001,0.0000001,0.000001,0.02,0.05,0.07,0.1,0.22,0.29,0.12,0.05,0.02,0.02,0.00001,0.000001,0.000001,"INTC,INTEL CORP"
INTU,"INTUIT INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.05,0.13,0.29,0.14,0.03,0.01,0.01,0.00001,0.000001,0.000001,"INTU,INTUIT INC"
IP,"INTL PAPER CO",0.00000001,0.0000001,0.000001,0.00001,0.02,0.07,0.12,0.27,0.33,0.18,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"IP,INTL PAPER CO"
IPG,"INTERPUBLIC GROUP OF COS",0.00000001,0.0000001,0.000001,0.01,0.03,0.05,0.16,0.24,0.27,0.13,0.04,0.02,0.01,0.01,0.000001,0.000001,"IPG,INTERPUBLIC GROUP OF COS"
IPGP,"IPG PHOTONICS CORP",0.00000001,0.0000001,0.02,0.04,0.06,0.08,0.1,0.14,0.41,0.24,0.07,0.05,0.04,0.01,0.000001,0.000001,"IPGP,IPG PHOTONICS CORP"
IQV,"IQVIA HOLDINGS INC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.06,0.11,0.23,0.36,0.11,0.06,0.03,0.02,0.00001,0.000001,0.000001,"IQV,IQVIA HOLDINGS INC"
IR,"INGERSOLL-RAND PLC",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.09,0.21,0.33,0.18,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"IR,INGERSOLL-RAND PLC"
IRM,"IRON MOUNTAIN INC",0.00000001,0.0000001,0.000001,0.03,0.04,0.07,0.2,0.28,0.33,0.17,0.03,0.02,0.01,0.00001,0.000001,0.000001,"IRM,IRON MOUNTAIN INC"
ISRG,"INTUITIVE SURGICAL INC",0.01,0.01,0.01,0.01,0.03,0.05,0.09,0.17,0.4,0.18,0.04,0.02,0,0,0,0,"ISRG,INTUITIVE SURGICAL INC"
IT,"GARTNER INC",0.00000001,0.0000001,0.01,0.01,0.02,0.04,0.11,0.21,0.28,0.15,0.07,0.03,0.02,0.00001,0.000001,0.000001,"IT,GARTNER INC"
ITW,"ILLINOIS TOOL WORKS",0.00000001,0.0000001,0.000001,0.02,0.03,0.04,0.07,0.17,0.28,0.12,0.03,0.02,0.0001,0.00001,0.000001,0.000001,"ITW,ILLINOIS TOOL WORKS"
IVZ,"INVESCO LTD",0.00000001,0.0000001,0.02,0.04,0.05,0.09,0.2,0.35,0.33,0.19,0.09,0.04,0.01,0.00001,0.000001,0.000001,"IVZ,INVESCO LTD"
JBHT,"HUNT (JB) TRANSPRT SVCS INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.06,0.1,0.27,0.31,0.13,0.09,0.03,0.0001,0.00001,0.000001,0.000001,"JBHT,HUNT (JB) TRANSPRT SVCS INC"
JCI,"JOHNSON CONTROLS INTL PLC",0.00000001,0.0000001,0.01,0.04,0.05,0.1,0.15,0.25,0.27,0.12,0.04,0.001,0.0001,0.00001,0.000001,0.000001,"JCI,JOHNSON CONTROLS INTL PLC"
JEC,"JACOBS ENGINEERING GROUP INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.08,0.13,0.27,0.36,0.16,0.08,0.04,0.02,0.01,0.000001,0.000001,"JEC,JACOBS ENGINEERING GROUP INC"
JEF,"JEFFERIES FINANCIAL GRP INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.08,0.11,0.25,0.28,0.14,0.08,0.04,0.01,0.00001,0.000001,0.000001,"JEF,JEFFERIES FINANCIAL GRP INC"
JNJ,"JOHNSON & JOHNSON",0.00000001,0.0000001,0.000001,0.00001,0.01,0.01,0.03,0.17,0.26,0.04,0.01,0.01,0.0001,0.00001,0.000001,0.000001,"JNJ,JOHNSON & JOHNSON"
JNPR,"JUNIPER NETWORKS INC",0.00000001,0.0000001,0.000001,0.01,0.05,0.09,0.16,0.28,0.25,0.11,0.04,0.02,0.02,0.00001,0.000001,0.000001,"JNPR,JUNIPER NETWORKS INC"
JPM,"JPMORGAN CHASE & CO",0.00000001,0.0000001,0.000001,0.01,0.01,0.02,0.05,0.22,0.34,0.12,0.05,0.02,0.0001,0.00001,0.000001,0.000001,"JPM,JPMORGAN CHASE & CO"
JWN,"NORDSTROM INC",0.00000001,0.01,0.04,0.07,0.08,0.13,0.22,0.34,0.36,0.27,0.13,0.04,0.02,0.01,0.000001,0.000001,"JWN,NORDSTROM INC"
K,"KELLOGG CO",0.00000001,0.0000001,0.000001,0.00001,0.01,0.01,0.1,0.24,0.22,0.13,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"K,KELLOGG CO"
KEY,KEYCORP,0.00000001,0.0000001,0.000001,0.01,0.01,0.06,0.12,0.25,0.29,0.17,0.06,0.04,0.03,0.00001,0.000001,0.000001,"KEY,KEYCORP"
KHC,"KRAFT HEINZ CO",0.00000001,0.0000001,0.000001,0.00001,0.02,0.05,0.11,0.24,0.24,0.08,0.02,0.02,0.0001,0.00001,0.000001,0.000001,"KHC,KRAFT HEINZ CO"
KIM,"KIMCO REALTY CORP",0.00000001,0.0000001,0.000001,0.02,0.05,0.08,0.16,0.37,0.28,0.14,0.05,0.01,0.0001,0.00001,0.000001,0.000001,"KIM,KIMCO REALTY CORP"
KLAC,"KLA-TENCOR CORP",0.00000001,0.0000001,0.000001,0.02,0.03,0.08,0.13,0.21,0.38,0.15,0.04,0.01,0.01,0.01,0.000001,0.000001,"KLAC,KLA-TENCOR CORP"
KMB,"KIMBERLY-CLARK CORP",0.00000001,0.0000001,0.000001,0.00001,0.01,0.02,0.07,0.23,0.22,0.02,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"KMB,KIMBERLY-CLARK CORP"
KMI,"KINDER MORGAN INC",0.01,0.01,0.02,0.05,0.07,0.12,0.18,0.34,0.28,0.12,0.05,0.04,0.03,0.02,0.01,0,"KMI,KINDER MORGAN INC"
KMX,"CARMAX INC",0.00000001,0.0000001,0.01,0.02,0.02,0.05,0.15,0.26,0.33,0.15,0.08,0.04,0.0001,0.00001,0.000001,0.000001,"KMX,CARMAX INC"
KO,"COCA-COLA CO",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.01,0.05,0.13,0.14,0.01,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"KO,COCA-COLA CO"
KORS,"MICHAEL KORS HOLDINGS LTD",0.00000001,0.0000001,0.01,0.04,0.09,0.1,0.15,0.31,0.33,0.2,0.11,0.07,0.04,0.03,0.000001,0.000001,"KORS,MICHAEL KORS HOLDINGS LTD"
KR,"KROGER CO",0.00000001,0.01,0.01,0.03,0.04,0.09,0.2,0.32,0.3,0.15,0.08,0.03,0.02,0.00001,0.000001,0.000001,"KR,KROGER CO"
KSS,"KOHL'S CORP",0.00000001,0.0000001,0.04,0.06,0.08,0.15,0.25,0.34,0.43,0.3,0.19,0.07,0.04,0.02,0.000001,0.000001,"KSS,KOHL'S CORP"
KSU,"KANSAS CITY SOUTHERN",0.00000001,0.0000001,0.01,0.01,0.03,0.07,0.11,0.27,0.31,0.13,0.07,0.04,0.0001,0.00001,0.000001,0.000001,"KSU,KANSAS CITY SOUTHERN"
L,"LOEWS CORP",0.00000001,0.0000001,0.000001,0.01,0.02,0.02,0.04,0.13,0.19,0.09,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"L,LOEWS CORP"
LB,"L BRANDS INC",0.00000001,0.01,0.05,0.1,0.11,0.19,0.27,0.35,0.29,0.17,0.1,0.03,0.01,0.00001,0.000001,0.000001,"LB,L BRANDS INC"
LEG,"LEGGETT & PLATT INC",0.00000001,0.0000001,0.000001,0.00001,0.0001,0.06,0.12,0.25,0.28,0.09,0.04,0.01,0.0001,0.00001,0.000001,0.000001,"LEG,LEGGETT & PLATT INC"
LEN,"LENNAR CORP",0.00000001,0.0000001,0.01,0.01,0.04,0.06,0.14,0.31,0.32,0.15,0.05,0.02,0.0001,0.00001,0.000001,0.000001,"LEN,LENNAR CORP"
LH,"LABORATORY CP OF AMER HLDGS",0.00000001,0.0000001,0.000001,0.01,0.02,0.04,0.07,0.17,0.31,0.08,0.02,0.001,0.0001,0.00001,0.000001,0.000001,"LH,LABORATORY CP OF AMER HLDGS"
LKQ,"LKQ CORP",0.00000001,0.0000001,0.01,0.03,0.03,0.04,0.14,0.22,0.29,0.15,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"LKQ,LKQ CORP"
LLL,"L3 TECHNOLOGIES INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.03,0.07,0.15,0.3,0.11,0.06,0.02,0.01,0.00001,0.000001,0.000001,"LLL,L3 TECHNOLOGIES INC"
LLY,"LILLY (ELI) & CO",0.00000001,0.0000001,0.000001,0.02,0.02,0.04,0.08,0.2,0.33,0.05,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"LLY,LILLY (ELI) & CO"
LMT,"LOCKHEED MARTIN CORP",0.00000001,0.0000001,0.000001,0.01,0.01,0.02,0.06,0.16,0.26,0.09,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"LMT,LOCKHEED MARTIN CORP"
LNC,"LINCOLN NATIONAL CORP",0.00000001,0.0000001,0.03,0.04,0.05,0.09,0.16,0.28,0.41,0.2,0.08,0.04,0.02,0.01,0.000001,0.000001,"LNC,LINCOLN NATIONAL CORP"
LNT,"ALLIANT ENERGY CORP",0.01,0.01,0.01,0.01,0.01,0.03,0.09,0.23,0.3,0.06,0.01,0,0,0,0,0,"LNT,ALLIANT ENERGY CORP"
LOW,"LOWE'S COMPANIES INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.05,0.13,0.24,0.28,0.17,0.07,0.02,0.01,0.00001,0.000001,0.000001,"LOW,LOWE'S COMPANIES INC"
LRCX,"LAM RESEARCH CORP",0.00000001,0.0000001,0.000001,0.03,0.07,0.09,0.11,0.24,0.42,0.26,0.11,0.05,0.03,0.00001,0.000001,0.000001,"LRCX,LAM RESEARCH CORP"
LUV,"SOUTHWEST AIRLINES",0.00000001,0.0000001,0.000001,0.02,0.03,0.08,0.17,0.29,0.32,0.18,0.08,0.04,0.02,0.00001,0.000001,0.000001,"LUV,SOUTHWEST AIRLINES"
LYB,"LYONDELLBASELL INDUSTRIES NV",0.00000001,0.0000001,0.000001,0.02,0.05,0.06,0.09,0.21,0.32,0.15,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"LYB,LYONDELLBASELL INDUSTRIES NV"
M,"MACY'S INC",0.00000001,0.02,0.07,0.1,0.13,0.18,0.25,0.33,0.38,0.27,0.16,0.1,0.05,0.02,0.000001,0.000001,"M,MACY'S INC"
MA,"MASTERCARD INC",0.00000001,0.0000001,0.000001,0.01,0.02,0.02,0.05,0.14,0.32,0.11,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"MA,MASTERCARD INC"
MAA,"MID-AMERICA APT CMNTYS INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.05,0.11,0.26,0.3,0.1,0.05,0.001,0.0001,0.00001,0.000001,0.000001,"MAA,MID-AMERICA APT CMNTYS INC"
MAC,"MACERICH CO",0.00000001,0.0000001,0.000001,0.02,0.04,0.07,0.16,0.26,0.24,0.07,0.02,0.01,0.01,0.01,0.000001,0.000001,"MAC,MACERICH CO"
