Ticker,company,minusfiftyper,minustwentyfiveper,minusfifteenper,minustenper,minuseightper,minussixper,minusfourper,minustwoper,twoper,fourper,sixper,eightper,tenper,fifteenper,twentyfiveper,fiftyper,ticker_company
CCL,"CARNIVAL CORP/PLC (USA)",0.00000001,0.0000001,0.000001,0.02,0.03,0.05,0.1,0.27,0.31,0.13,0.03,0.01,0.0001,0.00001,0.000001,0.000001,"CCL,CARNIVAL CORP/PLC (USA)"
CCZ,"COMCAST CORP",0.00000001,0.0000001,0.000001,0.06,0.06,0.13,0.15,0.3,0.24,0.17,0.11,0.08,0.05,0.02,0.000001,0.000001,"CCZ,COMCAST CORP"
CDNS,"CADENCE DESIGN SYSTEMS INC",0.00000001,0.0000001,0.01,0.02,0.03,0.03,0.08,0.15,0.34,0.14,0.03,0.01,0.01,0.00001,0.000001,0.000001,"CDNS,CADENCE DESIGN SYSTEMS INC"
CELG,"CELGENE CORP",0.00000001,0.01,0.01,0.02,0.05,0.09,0.16,0.26,0.27,0.13,0.09,0.01,0.01,0.00001,0.000001,0.000001,"CELG,CELGENE CORP"
CELGZ,"CELGENE CORP",0.01,0.01,0.09,0.16,0.19,0.23,0.32,0.42,0.33,0.23,0.19,0.15,0.13,0.08,0.04,0,"CELGZ,CELGENE CORP"
CERN,"CERNER CORP",0.00000001,0.0000001,0.000001,0.01,0.06,0.07,0.17,0.27,0.28,0.11,0.07,0.02,0.0001,0.00001,0.000001,0.000001,"CERN,CERNER CORP"
CF,"CF INDUSTRIES HOLDINGS INC",0.00000001,0.01,0.02,0.08,0.12,0.23,0.31,0.39,0.39,0.27,0.19,0.1,0.05,0.01,0.000001,0.000001,"CF,CF INDUSTRIES HOLDINGS INC"
CFG,"CITIZENS FINANCIAL GROUP INC",0.00000001,0.0000001,0.000001,0.02,0.04,0.08,0.16,0.29,0.37,0.21,0.08,0.04,0.01,0.00001,0.000001,0.000001,"CFG,CITIZENS FINANCIAL GROUP INC"
CGBBW,"CITIGROUP INC",0.21,0.29,0.39,0.42,0.45,0.45,0.45,0.45,0.3,0.3,0.29,0.28,0.28,0.25,0.2,0.09,"CGBBW,CITIGROUP INC"
CHD,"CHURCH & DWIGHT INC",0.01,0.01,0.01,0.01,0.01,0.04,0.1,0.17,0.24,0.09,0.01,0,0,0,0,0,"CHD,CHURCH & DWIGHT INC"
CHRW,"C H ROBINSON WORLDWIDE INC",0.00000001,0.0000001,0.000001,0.02,0.03,0.03,0.11,0.24,0.28,0.12,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"CHRW,C H ROBINSON WORLDWIDE INC"
CHTR,"CHARTER COMMUNICATIONS INC",0.00000001,0.0000001,0.01,0.02,0.02,0.07,0.11,0.23,0.29,0.18,0.09,0.03,0.0001,0.00001,0.000001,0.000001,"CHTR,CHARTER COMMUNICATIONS INC"
CI,"CIGNA CORP",0.00000001,0.0000001,0.000001,0.02,0.02,0.03,0.09,0.2,0.31,0.07,0.02,0.01,0.0001,0.00001,0.000001,0.000001,"CI,CIGNA CORP"
CINF,"CINCINNATI FINANCIAL CORP",0.00000001,0.0000001,0.000001,0.00001,0.01,0.04,0.08,0.18,0.25,0.11,0.01,0.001,0.0001,0.00001,0.000001,0.000001,"CINF,CINCINNATI FINANCIAL CORP"
